jobpost,Title,Company,AboutC
"""Medassist"" Medical Center
TITLE:  Chief Accountant
TERM:  Full-time
START DATE/ TIME:  Immediately
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  ""Medassist"" Medical Center is looking for a motivated,
self-driven, highly professional candidate for the position of the Chief
Accountant. The candidate should be well organized, detail-oriented and
hard working person.
JOB RESPONSIBILITIES:
- Prepare financial statements, tax reports, statistics and other reports
as required by the RA legislation;
- Approve payment and settlement documents within the defined
authorities;
- Organize and control bank transfers; 
- Control cash in and out transactions;
- Responsible for fixed assets inventory control;
- Carry out tax accounting and represent the Company at tax, pension,
customs, statistical and other state authorities according to the
requirements of the existing legislation;
- Supervise preparation of monthly, quarterly and annual tax and other
reports to state regulators;
- Perform other accounting/ financial operations.
REQUIRED QUALIFICATIONS:
- Higher education in the spheres of Economics, Finance and Accounting;
- At least 3 years of experience as a Chief Accountant;
- Perfect knowledge of RA laws, as well as tax legislation regulating;
- Understanding of and commitment to the team working concepts;
- Perfect knowledge of 1C and MS Excel software;
- Excellent organizational and interpersonal skills;
- Excellent knowledge of Armenian, English and Russian languages;
- Ability to handle confidential issues;
- Ability to work under pressure and within deadlines.
APPLICATION PROCEDURES:  Please send a cover letter and CV to:bpoghosyan@... . Please clearly indicate Chief Accountant in the
subject line of your e-mail. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20  May 2013
APPLICATION DEADLINE:  31 May 2013
ABOUT COMPANY:  ""Medassist"" Medical Center was founded in 2006. The main
mission of the center is to provide health services thus helping to
preserve and improve your health.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Chief Accountant,"""Medassist"" Medical Center","""Medassist"" Medical Center was founded in 2006. The main
mission of the center is to provide health services thus helping to
preserve and improve your health."
"Orange Armenia
TITLE:  Retail Research Coordinator
TERM:  Full time
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
START DATE/ TIME:  As soon as possible
DURATION:  Long term with 3 months probation period.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Participate in preparation, realization and evaluation of surveys for
retail sales network;
- Handle mystery shopping projects, prepare various support activities
to ensure quality of retail sales and customer satisfaction;
- Participate in identifying of new areas of research and potential for
upgrade of quality of the services provided by the retail sales
network;
- Prepare recommendation based on surveys and studies;
- Provide support in her/his responsibility area.
REQUIRED QUALIFICATIONS:
- High School/ University degree, preferably in business field;
- Minimum 2 years of work experience with sales or market surveys;
- Knowledge of Microsoft Office tools (Excel, Word, E-mail, Internet);
- Advanced knowledge of Russian and English languages;
- Good communication and presentation skills.
REMUNERATION/ SALARY:  Based on previous salary history, experience and
prevailing market rates for comparable positions.
APPLICATION PROCEDURES:  To apply for this position please open (click)http://www.careerhouse.com website, register as an individual user
(unless you have previously registered), fill out your Resume, then open
the same announcement there, click on the ""Apply"" button and proceed to
receive the confirmation message. Please make sure you necessarily fill
out the References section in your Resume and attach any references you
have.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  21 July 2009
APPLICATION DEADLINE:  05 August 2009
ABOUT COMPANY:  France Telecom is a telecommunications operator
providing services to more than 170 million customers on five continents
of the world of which 120 million under the Orange brand. 
Orange Armenia is starting its activity as the third operator in the
mobile telecommunications sphere in Armenia.
Visit www.orange.com for more information.
ADDITIONAL NOTES:  Should you have any questions regarding registration
process, please call Career House: +(374 10) 51 90 62.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Retail Research Coordinator,Orange Armenia,"France Telecom is a telecommunications operator
providing services to more than 170 million customers on five continents
of the world of which 120 million under the Orange brand. 
Orange Armenia is starting its activity as the third operator in the
mobile telecommunications sphere in Armenia.
Visit www.orange.com for more information."
"IUnetworks LLC
TITLE:  Software Sales Representative
TERM:  Full-time
START DATE/ TIME:  ASAP
DURATION:  Long-term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The Software Sales Representative will be responsible
for international sales of software products and applications.
JOB RESPONSIBILITIES:
- Establish company sales goals;
- Be responsible for new business development via prospecting,
qualifying, selling software solutions, services and products;
- Proactively seek and drive opportunities to gain new marketplace;
- Initiate and coordinate development of action plans to penetrate
international markets;
- Develop a business plan and sales strategy for the market that ensures
attainment of company sales goals and profitability;
- Prepare action plans for effective search of sales leads and
prospects;
- Build effective communications, to understand training and development
needs and to provide insight for the improvement of sales and activity
performance;
- Provide timely feedback to senior management regarding performance;
- Create and conduct proposal presentations and RFP responses.
REQUIRED QUALIFICATIONS:
- University degree in IT; a degree in Business Administration will be a
plus;
- Experience in international software sales;
- Ability to understand the IT needs of the potential customer;
- Ability to assess business needs of the customer;
- Strong experience in sales of IT products;
- Presence of industry contacts and associations is an advantage;
- Experience in working with or within the software development
community;
- Technical knowledge is a plus;
- Relationship management skills;
- Knowledge of marketing principles;
- Strategic thinker with a track record of executing on tactical plans;
- Excellent communication skills targeted at internal and external senior
level executives;
- Advanced written and verbal communication skills;
- Excellent presentation skills;
- Excellent negotiation skills;
- Strong personal organization skills.
REMUNERATION/ SALARY:  Highly competitive
APPLICATION PROCEDURES:  Please submit your CV to: info@... .
Only shortlisted candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  19 December 2011
APPLICATION DEADLINE:  18 January 2012
ABOUT COMPANY:  IUnetworks LLC is an Information Technology company that
provides integrated solutions of software development and hardware
supply.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Software Sales Representative,IUnetworks LLC,"IUnetworks LLC is an Information Technology company that
provides integrated solutions of software development and hardware
supply."
"Cambric Services LLC
TITLE:  Chief Accountant
START DATE/ TIME:  June 2009
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Cambric Services LLC is seeking a Chief Accountant to
organize and implement all financial and accounting activities,
supervise all bank and cash transactions,
prepare monthly payroll, monthly and quarterly reports to HQ, budget
control reports, prepare and submit tax reports.
JOB RESPONSIBILITIES:
- Organize and implement all financial and accounting activities with a
minimum time and maximum effectiveness, ensure they are in line with
local legislation and Companys Policies and Procedures;
- Implement and supervise all bank transactions: payments via bank
account, monthly bank reconciliation, implement and supervise all cash
transactions established within Companys financial system: petty cash
issuing, cash ledger entering, daily cash count, bi-monthly cash
reconciliation;
- Ensure strict adherence to all internal control requirements and
security regulations;
- Prepare monthly payroll, carry out salary payment to employees,
fulfilling all necessary income tax and various funds payments;
- Prepare and submit annual income tax report and quarterly reports to
local Tax Authorities, Statistics Department, Social Protection Fund and
Employment Fund while minimizing taxes payable and penalties;
- Prepare monthly closing reports, i.e. monthly and quarterly reports to
HQ for reimbursement;
- Continuously analyze the current financial position of the Company,
provide the Management with necessary financial reports and propose
recommendations when required;
- Be involved in preparation and carry out financial analysis and
continuous control over the Companys budgets;
- Provide Branch Manager with required financial reports within
established procedures and deadlines in order to allow proper analysis,
planning and decision-making;
- Develop, implement and supervise inventory control, i.e., running
random quarterly physical inventory counts and total annual inventory
counts;
- Be aware of the most recent changes in tax legislation and make
consultation to the Management as required.
Contacts & Liaison:
- Liaison with State Tax Authorities and other financial institutions;
- Contact Lawyer for any complex issues requiring more thorough
analyses.
REQUIRED QUALIFICATIONS:
- Higher University degree in Business, Economics or Accounting;
- Working knowledge of English - both oral and written;
- Minimum one year of experience in Finance in an international
organization;
- Conversant with computer application programs (Windows, MS Office, MS
Outlook, Accounting Software, etc.).
APPLICATION PROCEDURES:  Interested candidates should send their full CV
to: phakhinyan@... .
In the subject line of the e-mail message please mention the title of
the position you are applying for. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  02 June 2009
APPLICATION DEADLINE:  10 June 2009
ABOUT COMPANY:  Cambric is an engineering company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Chief Accountant,Cambric Services LLC,Cambric is an engineering company.
"""Spayka"" LLC
TITLE:  HR Manager
START DATE/ TIME:  Immediately
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  ""Spayka"" LLC is looking for a qualified candidate for
the position of HR Manager.
JOB RESPONSIBILITIES:
- Prepare and represent all reports to social insurance funds, and labour
inspection of RA;
- Act as responsible person before the labour inspection of RA;
- Prepare all documents regarding labour legislation.
REQUIRED QUALIFICATIONS:
- Higher education, preferably in finance economics or mathematics;
- Over 2 years of relevant professional work experience;
- Excellent knowledge of labor legislation of RA;
- Analytical, communication and organizational skills;
- Knowledge Armenian software program;
- Ability to work under pressure.
APPLICATION PROCEDURES:  All qualified and interested candidates should
submit their CVs/ resumes with photos and cover letters to:spayka@... . Please mention the name of the vacancy in the subject
of the email. Only shortlisted candidates will be invited for the
interviews.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  19 July 2010
APPLICATION DEADLINE:  01 August 2010
ABOUT COMPANY:  Spayka LLC is a Freight Forwarding Company which started
its activity in the Armenian market in 2001. For more information about
the company, please visit its web-site: www.spayka.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",HR Manager,"""Spayka"" LLC","Spayka LLC is a Freight Forwarding Company which started
its activity in the Armenian market in 2001. For more information about
the company, please visit its web-site: www.spayka.com."
"Qube LLC


TITLE:  Senior Software Backend Developer


TERM:  Full-time


OPEN TO/ ELIGIBILITY CRITERIA:  C++ Developers with at least 2 years of
experience.


START DATE/ TIME:  ASAP


DURATION:  Permanent with 3 months of probation period.


LOCATION:  Yerevan, Armenia


JOB DESCRIPTION:  Qube is looking for highly motivated Senior Software
Backend Developers (C++) to join the engineering team and make an impact
by developing consumer and enterprise level applications.


JOB RESPONSIBILITIES:
- Work closely with the team leader and product owner for understanding
the functional and system requirements;
- Develop software code based on the existing requirements;
- Read, understand and modify the existing code;
- Actively participate in product and customer development meetings and
come up with creative ideas and solutions;
- Participate in testing process through unit testing and bug fixes;
- Learn new technologies and programming languages;
- Teach, supervise and mentor junior developers.


REQUIRED QUALIFICATIONS:
- Knowledge of C/ C++ programming, STL;
- Strong analytical skills;
- Fast learner, fast doer, ability to grasp new technologies/ methods on
the fly;
- Ability to work under pressure and meet deadlines;
- Knowledge of Data structures, algorithms;
- Knowledge of Unix like operating systems (Linux or BSD);
- Knowledge of object-oriented programming, design patterns;
- Knowledge of the English language (ability to read and understand
technical articles, conversational language skills);
- Knowledge of image processing algorithms (OpenCV);
- Knowledge of boost libraries and multithreading and their practical
use.


REMUNERATION/ SALARY:  Competitive depending on skills.


APPLICATION PROCEDURES:  All interested and qualified candidates are
welcome to send their CVs to: hr@... .
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.


OPENING DATE:  29 July 2015


APPLICATION DEADLINE:  28 August 2015


ABOUT COMPANY:  Qube is a start-up company that develops software and
primarily focuses on image processing applications development.


----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Senior Software Backend Developer,Qube LLC,"Qube is a start-up company that develops software and
primarily focuses on image processing applications development."
"Asian Development Bank
TITLE:  Local Consultant for Armenia SME Finance Program
START DATE/ TIME:  Approximately 15 February 2012
DURATION:  4 months
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The Local Consultant will be tasked to gather data and
undertake analysis to serve as initial input in designing follow-on
strategies to improve access and credit performance of women-owned or
managed SMEs.
JOB RESPONSIBILITIES:
- Prepare a Work Plan, as well as a report outline for review and
approval by the ADB. The plan should clearly define the activities and
deliverables, key indicators and methodology in the collection and
analysis of data;
- Help form and lead a Working Group at each bank comprised of bank
personnel in departments related to the objectives of the plan. The
Working Group will act as a resource for the Local Consultant to access
systems, data and people necessary to complete the tasks of the Work Plan
and provide feedback on methods and conclusions developed by the Local
Consultant during the course of the engagement. The Local Consultant will
report to the Working Group upon completion of milestones set out by the
Work Plan. The Working Group will also act as the repository of
information and lessons learned from the engagement at each participating
bank to carry forward recommendations if the bank so chooses;
- Review the existing application and tracking system of the four (4)
banks and assess its adequacy in as far as generation of
sex-disaggregated data is concerned. The Local Consultant is expected to
review the adequacy of tracking system of the banks and reporting
procedures, including the number and qualification of staff engaged in
tracking SME information;
- Specifically, documents describing the following will be collected and
reviewed: (a) present tracking system of SMEs per industry (data/
information collected, presence or absence of information on women-owned
or managed SMEs); (b) qualification criteria across SME product
offerings; (c) analysis of approved and rejected credit applications
(number of loan applications vs. approval  sex-disaggregated, reasons
for eligibility/ ineligibility) (d) performance of SME loans and
customers  if not sex-disaggregated, the Local Consultant will
disaggregate the information collected by gender, by industry, by amount,
etc.  and evaluate patterns and reasons for late or non-payment, as well
as for customer loyalty and likelihood of future business; (e)
initiatives undertaken in promoting lending to women (if any); (f)
identify gaps to be filled based on data requirement;
- Conduct bank visits, hold meetings and consultations with members of
the Working Group as appropriate, collect and review relevant bank
records and analyse 2007-2010 information on SME loans and customers;
- Conduct interviews with a significant sample of randomly selected
women-SME owners or managers per participating bank to learn more about
their experience in accessing credit/ loans, business operations and
financial capacity;
- Review Government of Armenia initiatives and other studies conducted in
promoting women and business in Armenia as background material to the
report and as a basis for making complementary recommendations;
- Recommend what sex-disaggregated data to collect going forward and
actions on how to integrate it into their existing systems, reports and
processes;
- Start drafting his/ her Report immediately after completion of data
collection and analysis. The document will be supported by: raw and
processed SME data from 4 banks from 2007-2010, recorded highlights of
meetings conducted with the Working Group, other bank officers or staff,
women entrepreneurs etc.;
- Conduct a presentation summarizing the engagements findings,
conclusions and recommendations for each participating banks management
and/ or board and ADB;
- Objectives of the engagement
Collect information needed to:
(I) Establish whether there is a gender dimension in access to commercial
credit by women-owned or managed SMEs and why this may be the case;
(II) Evaluate the performance of loans made available to women owned/
managed enterprises and discern behavior patterns of this customer
segment; 
(III) Assist participating banks in developing targeted services and
products for this client segment;
Deliverables
The Local Consultant is expected to prepare:
- Work Plan-2 weeks after start of assignment;
- Report Outline-3 weeks after start of assignment;
- Monthly progress Report;
- Final Report two weeks after the 4-month engagement.
REQUIRED QUALIFICATIONS:
- Degree in the field related to development and/ or management and
relevant experience in working with commercial banks;
- Solid understanding and experience of issues related to commercial
credit needs of SMEs and proven ability in devising strategies to address
these constraints;
- Willingness to undertake visits and interact with bank officers and
staff;
- Armenian Language skills are highly desirable;
- Experience in data processing and analysis, reviewing bank reporting
systems and identifying where enhancement to policies and procedures are
needed are also highly desired;
- Experience in SME banking is preferred;
- Fluency in English both written and spoken.
APPLICATION PROCEDURES:  Deadline for submitting CV's is 31 January 2012
5pm, Manila time. Applicants should register in the ADB's Consultant
Management System by following this link:https://uxdmz06.adb.org/OA_HTML/adb/adbpos/jsp/ADBCMSLogin.jsp .
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20 January 2012
APPLICATION DEADLINE:  31 January 2012
ABOUT COMPANY:  The Asian Development Banks vision is a region free of
poverty. Established in 1966 and headquartered in Manila, Philippines,
ADBs multicultural staff comes from over 50 member countries. For more
details please visit: www.adb.org.
ABOUT:  ADB recently approved a program in Armenia that provides loans to
four local banks (ACBA Credit Agroicole Bank, Ameriabank,
Ardshininvestbank and Inecobank) for on-lending to small and medium-sized
enterprises (SMEs). The program aims to increase the capacity of local
banks to provide SMEs with longer-term financing to support SME growth
and productivity. The Gender Action Plan of the SME Finance Program aims
to study and improve female entrepreneurship. The plan involves
collecting sex-disaggregated data from participating banks to understand
lending practices towards women-owned/ managed SMEs. Currently there is
dearth of research on access to financing by women-owned or managed SMEs
in Armenia.
ADDITIONAL NOTES:  For more information about the position for the Local
Consultant please visit this link:http://csrn.adb.org/csrn/publicNoticeList.htm?projectNo=44484&projectSeqNo=01&projectTypeCd=2&listingNo=T1R1&deadline=31-JAN-2012&pageSource=MainPag
.
ATTACHMENTS:
The following attachment(s) to this announcement can be downloaded from:http://www.careercenter.am/ccdspann.php?id=14571
1. TOR - TOR For Local Consultant - ARM SME+JEM.zip (249K)
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Local Consultant for Armenia SME Finance Program,Asian Development Bank,"The Asian Development Banks vision is a region free of
poverty. Established in 1966 and headquartered in Manila, Philippines,
ADBs multicultural staff comes from over 50 member countries. For more
details please visit: www.adb.org.
ABOUT:  ADB recently approved a program in Armenia that provides loans to
four local banks (ACBA Credit Agroicole Bank, Ameriabank,
Ardshininvestbank and Inecobank) for on-lending to small and medium-sized
enterprises (SMEs). The program aims to increase the capacity of local
banks to provide SMEs with longer-term financing to support SME growth
and productivity. The Gender Action Plan of the SME Finance Program aims
to study and improve female entrepreneurship. The plan involves
collecting sex-disaggregated data from participating banks to understand
lending practices towards women-owned/ managed SMEs. Currently there is
dearth of research on access to financing by women-owned or managed SMEs
in Armenia."
"American Councils for International Education (ACTR/ACCELS)
TITLE:  Educational Information Fair
EVENT TYPE:  Educational Information Fair
OPEN TO/ ELIGIBILITY CRITERIA:  Everybody
INTENDED AUDIENCE:  Students, scholars, pupils, professors, lecturers
START DATE/ TIME:  10 October 2008, 13:00 p.m.
DURATION:  4 hours
LOCATION:  Yerevan, Armenia
DETAIL DESCRIPTION:  This one-day event is open to the public free of
charge and offers a variety of information on US study opportunities.
Learn more about the US education system, the application and selection
process for US academic institutions, and standardised testing for the
iBT TOEFL, SAT, GRE and GMAT. 
Participants have the opportunity to meet with representatives of US
universities and colleges and several organizations that fund or
administer exchange programs as well as receive information on different
US colleges and universities. Participants can also take part in panel
discussions with returned graduates of US academic programs and
institutions.
The fair will take place at the American University of Armenia.
OPENING DATE:  22 September 2008
APPLICATION DEADLINE:  10 October 2008
ABOUT COMPANY:  ACTR/ACCELS (American Councils) is an international
non-profit organization leading the development and exchange of
knowledge between the U.S. and Eastern Europe/Eurasia focusing its
experience on the design and implementation of academic exchange,
professional training, distance learning, curriculum and test
development, delivery of technical assistance and consulting services,
research and evaluation, and institution building. 
Since 1996 the American Councils has implemented 13 programs in Armenia
funded by the Bureau of Educational and Cultural Affairs of the United
States Department of State (ECA) providing over 1,000 high school and
university students, educators, and faculty members with the opportunity
to study, research and get professional training in the US schools.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Educational Information Fair,American Councils for International Education (ACTR/ACCELS),"ACTR/ACCELS (American Councils) is an international
non-profit organization leading the development and exchange of
knowledge between the U.S. and Eastern Europe/Eurasia focusing its
experience on the design and implementation of academic exchange,
professional training, distance learning, curriculum and test
development, delivery of technical assistance and consulting services,
research and evaluation, and institution building. 
Since 1996 the American Councils has implemented 13 programs in Armenia
funded by the Bureau of Educational and Cultural Affairs of the United
States Department of State (ECA) providing over 1,000 high school and
university students, educators, and faculty members with the opportunity
to study, research and get professional training in the US schools."
"ACDI/VOCA
TITLE:  Project Accountant
TERM:  Full time salaried - 40 hours per week
OPEN TO/ ELIGIBILITY CRITERIA:  All qualified candidates
START DATE/ TIME:  TBD
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  ACDI/VOCA is looking for a motivated person to take
over a new position as a Project Accountant under direct supervision of
the Chief Accountant.
JOB RESPONSIBILITIES:
- Maintain bank accounts and withdraw funds for the office needs upon
relevant responsible official request;
- Maintain the General Ledger;
- Prepare Payrolls;
- Prepare statutory monthly and annual reports for Armenian Tax
Authorities;
- Reconcile bank accounts;
- Develop the monthly Financial Reports;
- Prepare all expense reports for ACDI/VOCA Projects;
- Analyze and control daily costs and cash flow;
- Maintain a log-book for non-expendable supplies;
- Carry out with the relevant responsible official cash reconciliation
at the end of each month to close the months books;
- Provide Project accounting and financial analysis and make proper
recommendations;
- Disburse approved expenditures;
- Ensure full accountability for the expenditures of all funds,
recording, updating, etc.
REQUIRED QUALIFICATIONS:
- University degree in Accounting/Finance or equivalent training;
- 3-5 years of experience in finance/accounting;
- 2 years of experience with foreign or international organizations;
- Analytical skills, attention to details, and follow through on
assigned duties;
- Strong written and oral communication skills in English, Armenian and
Russian languages;
- Excellent computer skills (1C,QuickBooks, MS Excel, MS Word and
Outlook);
- Strong interpersonal skills, strong professional ethics, professional
presentation;
- Self-motivated, innovative personality and ability to work under time
tight constraints;
- Good understanding of Western business principles;
- Ability to travel locally;
- Ability to work independently or as part of a team on multiple tasks
and in a multicultural environment.
REMUNERATION/ SALARY:  Negotiable
APPLICATION PROCEDURES:  Interested candidates must send their full CV
together with a motivation cover letter to: office@....
In the subject line of the e-mail message please mention the title of
the position you are applying for. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  15 May 2007
APPLICATION DEADLINE:  21 May 2007
ABOUT COMPANY:  ACDI/VOCA is a private, nonprofit organization that
promotes broad-based economic growth and the development of civil
society in emerging democracies and developing countries. Offering a
comprehensive range of technical assistance services, ACDI/VOCA
addresses the most pressing and intractable development problems.
ABOUT:  Millennium Challenge Account - Armenia (MCA-Armenia) and the
consortium of the following companies - ACDI\VOCA (USA), ARCADIS
Euroconsult (Holland), and VISTAA (Armenia) - signed a consulting
services agreement, according to which MCA-Armenia will implement the
Irrigated Agriculture Water-to-Market activity through the consortium
headed by ACDI/VOCA.
The Water-to-Market (WtM) program objective is to build the capacities
for irrigation management organization; facilitating on-farm development
through demonstrations and training; strengthening post-harvest,
processing and market information services; and increasing access to
credit to enable beneficiary farmers and the agribusinesses that serve
them to transition to more profitable, commercially-orientated
operations that are environmentally sustainable.
The credit component is a sub-activity of the WtM project. Its objective
is to increase the availability of longer-term, affordable credit to WtM
beneficiaries. As a result of the WtM program and other MCA activities
there will be improved irrigation systems and rural roads that will
present new opportunities for farmers and agriculturally related
businesses. Improved access to credit will allow these beneficiaries to
obtain financing for investments which will take advantage of these
opportunities. The goal of the credit component is to significantly
increase the availability of longer-term financing in rural areas and to
lower the cost of this credit.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Project Accountant,ACDI/VOCA,"ACDI/VOCA is a private, nonprofit organization that
promotes broad-based economic growth and the development of civil
society in emerging democracies and developing countries. Offering a
comprehensive range of technical assistance services, ACDI/VOCA
addresses the most pressing and intractable development problems.
ABOUT:  Millennium Challenge Account - Armenia (MCA-Armenia) and the
consortium of the following companies - ACDI\VOCA (USA), ARCADIS
Euroconsult (Holland), and VISTAA (Armenia) - signed a consulting
services agreement, according to which MCA-Armenia will implement the
Irrigated Agriculture Water-to-Market activity through the consortium
headed by ACDI/VOCA.
The Water-to-Market (WtM) program objective is to build the capacities
for irrigation management organization; facilitating on-farm development
through demonstrations and training; strengthening post-harvest,
processing and market information services; and increasing access to
credit to enable beneficiary farmers and the agribusinesses that serve
them to transition to more profitable, commercially-orientated
operations that are environmentally sustainable.
The credit component is a sub-activity of the WtM project. Its objective
is to increase the availability of longer-term, affordable credit to WtM
beneficiaries. As a result of the WtM program and other MCA activities
there will be improved irrigation systems and rural roads that will
present new opportunities for farmers and agriculturally related
businesses. Improved access to credit will allow these beneficiaries to
obtain financing for investments which will take advantage of these
opportunities. The goal of the credit component is to significantly
increase the availability of longer-term financing in rural areas and to
lower the cost of this credit."
"Anelik Bank CJSC
TITLE:  Head of Branch Network
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Supervise the delivery and sales of Anelik Bank banking products and
services in all branches;
- Examine and evaluate the branches customer service efficiency and
escalate the issues to the relevant department;
- Monitor each branch progress toward the goals and objectives of the
strategic and operational plans in order to maximum branch
profitability;
- Support the design, testing, and roll-out of new/ revised products and
services in branches as required;
- Supervise all branches operations involving up to 50% of time in the
field supporting the implementation of new products and identifying the
branch issue;
- Visit branches on regular basis in order to conduct monitoring and
evaluation of marketing, business analysis and client screening, loan
disbursements, collection, and all other aspects;
- Support the budgeting and projection process of each branch and ensure
that branch actual budget is verses planned budget;
- Conduct market research and propose the opening of new branches
according to business and market need;
- Perform regular monitoring of competitors and overall market demand and
present to management for discussion.
REQUIRED QUALIFICATIONS:
- University degree in Economics or Finance;
- 6-8 years of banking work experience out of which 3 years as Branch
Manager;
- Advanced MS Office knowledge;
- Ability to collect, analyze and present the required data; 
- Excellent communication and negotiation skills;
- Excellent teamwork and problem-solving skills;
- Outstanding Coaching and Mentoring ability;
- Readiness to travel to RA regions on regular basis;
- Advanced banking law knowledge is advantage;
- Advanced level of English language is a plus.
REMUNERATION/ SALARY:  Competitive salary and benefits
APPLICATION PROCEDURES:  All interested candidates who meet the above
mentioned requirements and are confident that their work experience
qualifies them for this position are encouraged to send their CVs and
motivation letters to:  BN@... . The applications' privacy and
confidentiality are guaranteed. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  10 December 2014
APPLICATION DEADLINE:  09 January 2015
ABOUT COMPANY:  ""Anelik Bank"" CJSC is a universal commercial bank, which
has an active participation in the social-economical area of the country
since August 1990. Credit Bank, which is a bank in Lebanon, became 100%
shareholder of ""Anelik Bank"" CJSC.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Head of Branch Network,Anelik Bank CJSC,"""Anelik Bank"" CJSC is a universal commercial bank, which
has an active participation in the social-economical area of the country
since August 1990. Credit Bank, which is a bank in Lebanon, became 100%
shareholder of ""Anelik Bank"" CJSC."
